Neighborhood,Room_Type,Accommodates,Bedrooms,Number_of_Reviews,Wifi,Cable_TV,Washer,Kitchen,Price(US_Dollars)
Mitte,Entire Home/Apt,4,1,18,No,No,Yes,Yes,64
Mitte,Entire Home/Apt,2,1,28,Yes,No,Yes,Yes,65
Friedrichshain-Kreuzberg,Entire Home/Apt,3,1,23,Yes,Yes,Yes,Yes,80
Friedrichshain-Kreuzberg,Private Room,2,1,81,Yes,Yes,Yes,Yes,55
Neukölln,Entire Home/Apt,4,3,39,Yes,No,Yes,Yes,70
Tempelhof - Schöneberg,Entire Home/Apt,4,1,104,Yes,No,No,Yes,50
Tempelhof - Schöneberg,Entire Home/Apt,4,2,50,Yes,No,Yes,Yes,59
Neukölln,Entire Home/Apt,5,3,67,Yes,Yes,Yes,Yes,65
Neukölln,Private Room,1,1,4,Yes,No,Yes,Yes,40
Mitte,Private Room,2,2,42,Yes,Yes,Yes,Yes,76
Friedrichshain-Kreuzberg,Entire Home/Apt,3,2,86,Yes,Yes,Yes,Yes,45
Pankow,Entire Home/Apt,3,2,0,Yes,No,Yes,Yes,60
Charlottenburg-Wilm.,Private Room,1,1,0,Yes,No,Yes,Yes,29
Charlottenburg-Wilm.,Entire Home/Apt,2,1,15,Yes,No,No,Yes,34
Charlottenburg-Wilm.,Entire Home/Apt,2,1,18,Yes,No,No,Yes,50
Charlottenburg-Wilm.,Entire Home/Apt,2,1,18,Yes,No,No,Yes,34
Friedrichshain-Kreuzberg,Entire Home/Apt,4,0,3,Yes,Yes,Yes,Yes,75
Neukölln,Private Room,2,1,8,Yes,Yes,Yes,Yes,65
Charlottenburg-Wilm.,Private Room,4,1,18,Yes,No,Yes,Yes,80
Mitte,Entire Home/Apt,5,2,10,Yes,No,Yes,Yes,120
Pankow,Private Room,2,1,498,Yes,Yes,No,Yes,50
Neukölln,Private Room,3,1,27,Yes,Yes,Yes,No,54
Friedrichshain-Kreuzberg,Private Room,4,1,21,Yes,No,Yes,Yes,29
Tempelhof - Schöneberg,Entire Home/Apt,2,1,17,Yes,No,Yes,Yes,30
Friedrichshain-Kreuzberg,Entire Home/Apt,5,3,15,Yes,No,Yes,Yes,40
Pankow,Entire Home/Apt,2,1,57,Yes,No,No,Yes,64
Tempelhof - Schöneberg,Entire Home/Apt,4,1,109,Yes,No,Yes,Yes,55
Pankow,Private Room,2,1,31,Yes,No,Yes,Yes,66
Pankow,Private Room,2,1,161,Yes,Yes,Yes,Yes,37
Pankow,Entire Home/Apt,2,1,201,Yes,No,No,Yes,69
Mitte,Private Room,1,1,97,Yes,Yes,Yes,Yes,60
Pankow,Entire Home/Apt,4,2,162,Yes,No,Yes,Yes,165
Charlottenburg-Wilm.,Entire Home/Apt,2,1,3,Yes,No,Yes,Yes,70
Charlottenburg-Wilm.,Entire Home/Apt,2,1,35,Yes,No,No,Yes,38
Mitte,Entire Home/Apt,3,1,8,Yes,Yes,Yes,Yes,69
Mitte,Private Room,2,1,8,Yes,No,Yes,No,35
Pankow,Entire Home/Apt,2,1,12,Yes,No,Yes,Yes,65
Tempelhof - Schöneberg,Entire Home/Apt,8,3,127,Yes,No,Yes,Yes,235
Charlottenburg-Wilm.,Entire Home/Apt,3,2,1,Yes,No,Yes,Yes,38
Tempelhof - Schöneberg,Entire Home/Apt,2,1,44,Yes,No,Yes,Yes,54
Friedrichshain-Kreuzberg,Private Room,2,1,142,Yes,Yes,No,Yes,30
Charlottenburg-Wilm.,Entire Home/Apt,2,1,4,No,No,Yes,Yes,31
Mitte,Entire Home/Apt,6,1,234,Yes,No,Yes,Yes,84
Pankow,Private Room,2,1,76,Yes,Yes,Yes,Yes,45
Tempelhof - Schöneberg,Private Room,2,1,47,Yes,No,Yes,Yes,43
