Neighborhood,Room_Type,Accommodates,Bedrooms,Number_of_Reviews,Wifi,Cable_TV,Washer,Kitchen,Price(US_Dollars)
Pankow,Entire Home/Apt,2,1,3,Yes,Yes,Yes,Yes,80
Mitte,Entire Home/Apt,4,2,5,Yes,No,Yes,Yes,100
Charlottenburg-Wilm.,Entire Home/Apt,1,0,0,Yes,No,Yes,Yes,65
Pankow,Private Room,3,1,2,Yes,Yes,Yes,Yes,49
Neukölln,Private Room,2,0,3,Yes,No,No,Yes,35
Pankow,Private Room,4,1,2,Yes,No,Yes,Yes,59
Charlottenburg-Wilm.,Shared Room,1,1,8,Yes,No,Yes,Yes,16
Friedrichshain-Kreuzberg,Private Room,2,1,1,Yes,Yes,No,No,35
Neukölln,Private Room,2,1,5,Yes,Yes,Yes,No,26
Pankow,Private Room,4,3,2,Yes,No,Yes,Yes,21
Mitte,Private Room,2,1,7,Yes,No,Yes,Yes,45
Charlottenburg-Wilm.,Private Room,3,1,6,Yes,No,Yes,Yes,60
Friedrichshain-Kreuzberg,Private Room,2,1,53,Yes,No,Yes,Yes,50
Friedrichshain-Kreuzberg,Entire Home/Apt,8,3,3,Yes,No,Yes,Yes,94
Mitte,Entire Home/Apt,6,0,37,Yes,No,Yes,Yes,85
Treptow - Köpenick,Entire Home/Apt,4,2,10,Yes,No,Yes,Yes,39
Pankow,Entire Home/Apt,3,1,12,Yes,No,Yes,Yes,35
Mitte,Entire Home/Apt,3,1,0,Yes,Yes,Yes,Yes,46
Neukölln,Entire Home/Apt,6,3,27,Yes,No,No,Yes,90
Charlottenburg-Wilm.,Entire Home/Apt,2,1,2,Yes,Yes,Yes,Yes,45
Neukölln,Entire Home/Apt,4,2,0,Yes,Yes,No,Yes,75
Charlottenburg-Wilm.,Private Room,4,2,0,Yes,Yes,No,Yes,50
Mitte,Private Room,2,1,11,Yes,No,Yes,Yes,30
Charlottenburg-Wilm.,Private Room,2,1,5,Yes,Yes,Yes,Yes,23
Mitte,Private Room,3,1,3,Yes,Yes,No,Yes,30
Charlottenburg-Wilm.,Private Room,1,1,12,Yes,Yes,No,Yes,20
Pankow,Private Room,2,1,2,Yes,No,Yes,Yes,30
Mitte,Private Room,2,1,1,Yes,Yes,Yes,Yes,28
Friedrichshain-Kreuzberg,Entire Home/Apt,4,1,28,Yes,No,Yes,Yes,40
Reinickendorf,Entire Home/Apt,2,1,0,Yes,No,Yes,Yes,40
Mitte,Entire Home/Apt,4,1,10,Yes,No,Yes,Yes,69
Reinickendorf,Private Room,2,1,4,Yes,Yes,Yes,Yes,26
Neukölln,Private Room,2,1,1,Yes,No,Yes,Yes,50
Mitte,Entire Home/Apt,4,1,1,Yes,Yes,Yes,Yes,41
Friedrichshain-Kreuzberg,Private Room,2,1,19,Yes,Yes,Yes,Yes,45
Mitte,Entire Home/Apt,2,1,5,No,Yes,Yes,Yes,36
Friedrichshain-Kreuzberg,Entire Home/Apt,3,2,10,Yes,No,Yes,Yes,110
Pankow,Entire Home/Apt,3,2,3,Yes,Yes,Yes,Yes,110
Friedrichshain-Kreuzberg,Private Room,2,1,0,Yes,Yes,Yes,Yes,35
Friedrichshain-Kreuzberg,Private Room,2,0,2,Yes,Yes,Yes,Yes,22
Pankow,Private Room,2,1,8,Yes,Yes,No,Yes,35
Pankow,Private Room,2,1,2,Yes,No,Yes,Yes,35
Pankow,Entire Home/Apt,9,3,10,Yes,No,Yes,Yes,95
Friedrichshain-Kreuzberg,Private Room,2,1,1,Yes,No,Yes,Yes,65
Pankow,Entire Home/Apt,9,4,9,Yes,No,Yes,Yes,95
Friedrichshain-Kreuzberg,Entire Home/Apt,2,1,8,Yes,Yes,Yes,Yes,48
Mitte,Private Room,2,1,0,Yes,Yes,Yes,Yes,15
Pankow,Private Room,1,1,0,Yes,Yes,Yes,Yes,13
Neukölln,Private Room,2,1,0,Yes,Yes,Yes,Yes,40
Treptow - Köpenick,Entire Home/Apt,5,3,3,Yes,Yes,Yes,Yes,100
Pankow,Entire Home/Apt,3,0,14,Yes,No,Yes,Yes,34
Tempelhof - Schöneberg,Private Room,2,1,1,Yes,Yes,Yes,Yes,16
Lichtenberg,Private Room,3,1,27,Yes,No,Yes,Yes,36
Tempelhof - Schöneberg,Entire Home/Apt,2,0,20,Yes,No,Yes,Yes,35
Neukölln,Entire Home/Apt,2,1,3,No,Yes,No,Yes,40
Mitte,Private Room,2,1,5,Yes,Yes,Yes,Yes,22
Charlottenburg-Wilm.,Entire Home/Apt,2,1,15,No,No,Yes,Yes,49
Pankow,Private Room,2,1,36,Yes,Yes,Yes,Yes,30
Treptow - Köpenick,Private Room,2,0,7,No,Yes,Yes,Yes,20
Friedrichshain-Kreuzberg,Private Room,2,1,7,Yes,Yes,Yes,Yes,20
Friedrichshain-Kreuzberg,Private Room,2,1,19,Yes,Yes,No,Yes,27
Neukölln,Private Room,2,1,10,Yes,Yes,Yes,Yes,50
Mitte,Entire Home/Apt,2,1,10,Yes,No,Yes,Yes,59
Tempelhof - Schöneberg,Entire Home/Apt,4,2,0,Yes,No,Yes,Yes,59
Pankow,Private Room,2,1,25,Yes,Yes,No,Yes,25
Pankow,Entire Home/Apt,4,2,3,Yes,No,Yes,Yes,120
Mitte,Private Room,3,1,3,Yes,No,No,Yes,50
Mitte,Private Room,1,0,0,Yes,Yes,No,Yes,34
Tempelhof - Schöneberg,Private Room,4,1,31,No,Yes,Yes,Yes,14
Pankow,Entire Home/Apt,3,1,8,Yes,No,Yes,Yes,65
Neukölln,Entire Home/Apt,3,1,4,Yes,Yes,Yes,Yes,51
Friedrichshain-Kreuzberg,Private Room,2,1,0,Yes,Yes,Yes,Yes,30
Tempelhof - Schöneberg,Entire Home/Apt,2,1,3,Yes,No,Yes,Yes,52
Lichtenberg,Private Room,2,1,3,Yes,Yes,Yes,Yes,37
Pankow,Entire Home/Apt,2,1,12,Yes,Yes,Yes,Yes,30
Friedrichshain-Kreuzberg,Private Room,1,1,11,Yes,Yes,Yes,Yes,20
Friedrichshain-Kreuzberg,Private Room,2,1,14,Yes,No,Yes,Yes,35
Neukölln,Private Room,2,1,6,Yes,Yes,Yes,Yes,35
Mitte,Entire Home/Apt,3,1,0,No,No,Yes,Yes,56
Friedrichshain-Kreuzberg,Private Room,2,1,1,Yes,Yes,Yes,Yes,20
Pankow,Entire Home/Apt,3,1,16,Yes,No,Yes,Yes,49
Steglitz - Zehlendorf,Private Room,2,2,0,Yes,No,Yes,Yes,70
Neukölln,Private Room,4,1,8,No,No,Yes,Yes,45
Tempelhof - Schöneberg,Private Room,1,0,3,Yes,Yes,No,No,15
Friedrichshain-Kreuzberg,Private Room,1,0,0,Yes,Yes,Yes,Yes,13
Neukölln,Private Room,2,1,4,Yes,Yes,Yes,Yes,18
Treptow - Köpenick,Private Room,2,1,19,Yes,No,No,No,35
Mitte,Entire Home/Apt,2,0,12,Yes,Yes,No,No,35
Pankow,Entire Home/Apt,4,1,3,Yes,No,Yes,Yes,125
Tempelhof - Schöneberg,Private Room,2,1,17,Yes,Yes,Yes,No,35
Pankow,Entire Home/Apt,4,0,14,Yes,Yes,Yes,Yes,30
Friedrichshain-Kreuzberg,Entire Home/Apt,2,1,2,Yes,Yes,Yes,Yes,60
Pankow,Private Room,2,1,33,Yes,Yes,No,Yes,40
Tempelhof - Schöneberg,Entire Home/Apt,2,1,0,No,Yes,Yes,Yes,32
Mitte,Entire Home/Apt,2,1,0,Yes,No,Yes,Yes,80
Mitte,Private Room,1,1,14,Yes,Yes,Yes,Yes,16
Pankow,Private Room,1,1,0,Yes,Yes,Yes,Yes,25
Lichtenberg,Entire Home/Apt,2,0,6,Yes,No,Yes,Yes,35
Charlottenburg-Wilm.,Private Room,1,1,29,Yes,Yes,No,No,19
Friedrichshain-Kreuzberg,Entire Home/Apt,2,1,11,Yes,No,Yes,Yes,95
Friedrichshain-Kreuzberg,Entire Home/Apt,2,0,0,Yes,No,Yes,Yes,55
Pankow,Private Room,2,1,7,Yes,Yes,Yes,Yes,35
Pankow,Private Room,2,1,2,Yes,No,Yes,Yes,46
Friedrichshain-Kreuzberg,Entire Home/Apt,4,1,7,Yes,Yes,Yes,Yes,60
Pankow,Entire Home/Apt,1,1,1,Yes,No,Yes,Yes,34
Mitte,Entire Home/Apt,5,3,1,No,Yes,Yes,Yes,29
Pankow,Private Room,3,1,6,Yes,No,Yes,Yes,55
Mitte,Entire Home/Apt,2,1,7,Yes,No,Yes,Yes,129
Pankow,Entire Home/Apt,4,0,3,Yes,Yes,Yes,Yes,55
Pankow,Private Room,2,1,20,Yes,Yes,Yes,Yes,40
Reinickendorf,Private Room,2,1,4,Yes,Yes,Yes,Yes,25
Tempelhof - Schöneberg,Entire Home/Apt,4,2,40,No,No,Yes,Yes,90
Pankow,Private Room,2,1,41,Yes,No,Yes,Yes,45
Mitte,Private Room,1,1,0,Yes,No,Yes,Yes,15
Treptow - Köpenick,Private Room,4,1,3,Yes,Yes,Yes,Yes,18
Charlottenburg-Wilm.,Private Room,2,1,1,Yes,No,Yes,Yes,45
Mitte,Entire Home/Apt,3,2,12,Yes,No,Yes,Yes,75
Lichtenberg,Private Room,3,1,2,Yes,No,Yes,Yes,19
Friedrichshain-Kreuzberg,Entire Home/Apt,2,1,0,Yes,Yes,Yes,Yes,55
Friedrichshain-Kreuzberg,Private Room,3,1,0,Yes,Yes,Yes,Yes,80
Lichtenberg,Private Room,2,1,50,Yes,No,Yes,Yes,30
Friedrichshain-Kreuzberg,Entire Home/Apt,2,1,2,Yes,No,Yes,Yes,70
Neukölln,Entire Home/Apt,3,0,3,Yes,Yes,Yes,Yes,30
Tempelhof - Schöneberg,Private Room,2,1,0,Yes,No,No,No,55
Mitte,Entire Home/Apt,4,1,3,Yes,Yes,No,Yes,120
Mitte,Private Room,2,1,11,Yes,No,Yes,Yes,40
Pankow,Private Room,2,1,9,Yes,No,Yes,Yes,60
Mitte,Private Room,2,1,12,Yes,No,Yes,Yes,25
Mitte,Private Room,2,1,24,Yes,No,Yes,Yes,60
Friedrichshain-Kreuzberg,Entire Home/Apt,4,0,5,Yes,Yes,Yes,Yes,55
Charlottenburg-Wilm.,Entire Home/Apt,4,2,4,Yes,No,Yes,Yes,130
Neukölln,Private Room,2,1,2,Yes,Yes,Yes,Yes,20
Pankow,Entire Home/Apt,6,1,62,Yes,Yes,No,Yes,70
Mitte,Private Room,2,1,22,Yes,No,Yes,Yes,65
Neukölln,Entire Home/Apt,5,2,1,Yes,Yes,Yes,Yes,60
Mitte,Entire Home/Apt,4,1,1,Yes,No,Yes,Yes,55
Reinickendorf,Private Room,2,1,2,Yes,Yes,Yes,Yes,20
Pankow,Entire Home/Apt,2,1,0,Yes,No,Yes,Yes,45
Tempelhof - Schöneberg,Shared Room,1,1,0,Yes,Yes,Yes,Yes,25
Friedrichshain-Kreuzberg,Private Room,2,1,5,Yes,Yes,Yes,Yes,19
Charlottenburg-Wilm.,Entire Home/Apt,4,1,16,No,No,No,Yes,69
Friedrichshain-Kreuzberg,Entire Home/Apt,6,2,25,Yes,No,Yes,Yes,100
Charlottenburg-Wilm.,Private Room,2,1,1,Yes,No,Yes,Yes,18
Pankow,Private Room,3,1,19,Yes,Yes,Yes,Yes,35
Lichtenberg,Entire Home/Apt,2,0,10,Yes,No,No,No,56
Friedrichshain-Kreuzberg,Entire Home/Apt,4,2,0,Yes,No,Yes,Yes,129
Friedrichshain-Kreuzberg,Private Room,1,1,36,Yes,Yes,No,Yes,40
Treptow - Köpenick,Private Room,4,2,1,Yes,No,Yes,Yes,69
Mitte,Private Room,2,1,26,Yes,No,Yes,No,39
Neukölln,Entire Home/Apt,2,1,6,Yes,Yes,No,Yes,40
Pankow,Private Room,4,2,1,Yes,Yes,No,Yes,40
Mitte,Private Room,2,1,0,Yes,No,Yes,Yes,30
Friedrichshain-Kreuzberg,Entire Home/Apt,2,1,6,Yes,Yes,No,Yes,89
Charlottenburg-Wilm.,Entire Home/Apt,2,1,0,Yes,No,Yes,Yes,55
Neukölln,Private Room,2,1,7,Yes,No,Yes,Yes,28
Friedrichshain-Kreuzberg,Private Room,2,1,1,Yes,Yes,Yes,Yes,22
Mitte,Entire Home/Apt,3,1,2,Yes,No,No,Yes,39
Friedrichshain-Kreuzberg,Entire Home/Apt,2,1,1,Yes,No,Yes,Yes,80
Charlottenburg-Wilm.,Private Room,2,1,1,Yes,No,No,Yes,15
Mitte,Entire Home/Apt,4,2,9,Yes,No,Yes,Yes,150
Friedrichshain-Kreuzberg,Private Room,2,1,12,Yes,No,Yes,Yes,120
Treptow - Köpenick,Private Room,2,1,5,Yes,No,Yes,Yes,29
Charlottenburg-Wilm.,Private Room,2,1,1,Yes,No,Yes,No,40
Friedrichshain-Kreuzberg,Private Room,2,1,9,Yes,No,Yes,Yes,85
Friedrichshain-Kreuzberg,Private Room,2,1,0,Yes,Yes,Yes,Yes,35
Pankow,Private Room,2,1,3,Yes,Yes,Yes,Yes,22
Lichtenberg,Entire Home/Apt,2,1,2,Yes,Yes,Yes,Yes,35
Friedrichshain-Kreuzberg,Private Room,2,1,3,Yes,Yes,Yes,Yes,120
Mitte,Private Room,2,1,0,Yes,Yes,Yes,Yes,20
Pankow,Private Room,2,1,3,Yes,Yes,Yes,Yes,18
Mitte,Entire Home/Apt,6,2,3,Yes,No,Yes,Yes,60
Tempelhof - Schöneberg,Private Room,1,1,0,Yes,Yes,No,No,15
Friedrichshain-Kreuzberg,Entire Home/Apt,6,1,11,Yes,No,Yes,Yes,90
Friedrichshain-Kreuzberg,Private Room,2,1,4,Yes,Yes,Yes,Yes,40
Neukölln,Private Room,2,1,6,Yes,Yes,Yes,Yes,17
Pankow,Private Room,6,2,34,Yes,No,Yes,Yes,100
Friedrichshain-Kreuzberg,Private Room,2,1,0,Yes,Yes,Yes,Yes,25
Charlottenburg-Wilm.,Entire Home/Apt,3,1,0,Yes,No,Yes,Yes,135
Mitte,Entire Home/Apt,2,1,1,Yes,No,No,Yes,41
Friedrichshain-Kreuzberg,Entire Home/Apt,2,1,0,Yes,No,Yes,Yes,70
Charlottenburg-Wilm.,Entire Home/Apt,2,0,9,Yes,No,Yes,Yes,40
Tempelhof - Schöneberg,Entire Home/Apt,5,2,3,Yes,Yes,Yes,Yes,100
Mitte,Entire Home/Apt,3,2,1,Yes,No,Yes,Yes,63
Friedrichshain-Kreuzberg,Private Room,2,1,7,Yes,Yes,Yes,No,22
Neukölln,Private Room,2,1,21,Yes,Yes,No,No,40
Neukölln,Private Room,3,1,2,Yes,No,No,Yes,19
Mitte,Private Room,2,1,1,Yes,Yes,No,No,18
Neukölln,Private Room,2,1,18,Yes,No,Yes,Yes,35
Tempelhof - Schöneberg,Shared Room,1,1,5,Yes,No,Yes,Yes,20
Charlottenburg-Wilm.,Private Room,2,1,21,Yes,Yes,Yes,Yes,29
Pankow,Entire Home/Apt,2,0,16,Yes,Yes,No,Yes,59
Friedrichshain-Kreuzberg,Private Room,2,1,4,Yes,Yes,Yes,Yes,28
Neukölln,Entire Home/Apt,2,1,2,Yes,No,Yes,Yes,37
Pankow,Private Room,1,1,0,Yes,No,Yes,Yes,40
Mitte,Entire Home/Apt,4,1,14,Yes,No,Yes,Yes,59
Reinickendorf,Entire Home/Apt,2,1,2,Yes,Yes,Yes,Yes,27
Friedrichshain-Kreuzberg,Private Room,2,7,1,Yes,No,No,No,79
Neukölln,Private Room,4,1,0,Yes,Yes,Yes,Yes,40
Friedrichshain-Kreuzberg,Entire Home/Apt,6,2,62,Yes,No,No,Yes,49
Friedrichshain-Kreuzberg,Private Room,1,1,27,Yes,No,Yes,Yes,25
Neukölln,Entire Home/Apt,2,1,1,Yes,Yes,Yes,Yes,40
Pankow,Entire Home/Apt,2,1,6,Yes,No,Yes,Yes,70
Mitte,Private Room,4,2,48,Yes,Yes,No,No,65
Treptow - Köpenick,Private Room,2,1,2,Yes,Yes,Yes,Yes,25
Neukölln,Private Room,1,1,14,Yes,Yes,No,Yes,15
Tempelhof - Schöneberg,Private Room,1,1,14,Yes,Yes,Yes,Yes,35
Friedrichshain-Kreuzberg,Private Room,1,1,0,Yes,Yes,Yes,Yes,17
Charlottenburg-Wilm.,Entire Home/Apt,4,2,39,Yes,No,Yes,Yes,150
Pankow,Private Room,1,1,16,Yes,Yes,Yes,Yes,30
Tempelhof - Schöneberg,Entire Home/Apt,4,1,6,Yes,No,Yes,Yes,120
Mitte,Entire Home/Apt,2,1,1,Yes,Yes,Yes,Yes,42
Friedrichshain-Kreuzberg,Private Room,2,1,5,No,Yes,Yes,Yes,20
Neukölln,Entire Home/Apt,2,1,1,Yes,Yes,Yes,Yes,30
Mitte,Private Room,1,1,0,Yes,No,Yes,Yes,50
Friedrichshain-Kreuzberg,Entire Home/Apt,4,2,1,Yes,Yes,Yes,Yes,70
Neukölln,Private Room,2,1,3,Yes,Yes,No,Yes,30
Mitte,Entire Home/Apt,3,1,40,Yes,Yes,No,Yes,80
Neukölln,Private Room,2,1,0,Yes,Yes,Yes,Yes,25
Friedrichshain-Kreuzberg,Private Room,1,1,1,Yes,No,Yes,Yes,27
Steglitz - Zehlendorf,Private Room,1,1,40,Yes,No,No,No,39
Mitte,Entire Home/Apt,3,0,12,Yes,Yes,Yes,Yes,40
Mitte,Entire Home/Apt,2,2,2,Yes,No,Yes,Yes,100
Treptow - Köpenick,Private Room,2,1,65,Yes,No,Yes,Yes,25
Charlottenburg-Wilm.,Private Room,1,0,0,No,Yes,No,Yes,30
Pankow,Entire Home/Apt,4,1,0,Yes,Yes,Yes,Yes,94
Mitte,Private Room,2,1,1,Yes,Yes,Yes,Yes,15
Mitte,Entire Home/Apt,5,1,19,Yes,No,No,Yes,120
Friedrichshain-Kreuzberg,Private Room,4,1,7,Yes,Yes,No,Yes,40
Mitte,Entire Home/Apt,2,1,70,Yes,No,Yes,Yes,45
Charlottenburg-Wilm.,Entire Home/Apt,4,1,4,Yes,Yes,Yes,Yes,36
Mitte,Entire Home/Apt,2,1,5,Yes,No,Yes,Yes,89
Charlottenburg-Wilm.,Private Room,2,1,20,Yes,No,Yes,Yes,35
Neukölln,Entire Home/Apt,2,1,3,Yes,Yes,Yes,Yes,48
Pankow,Private Room,2,1,3,Yes,Yes,No,Yes,35
Neukölln,Entire Home/Apt,2,1,3,Yes,No,Yes,Yes,50
Friedrichshain-Kreuzberg,Entire Home/Apt,3,1,0,Yes,No,Yes,Yes,69
Neukölln,Private Room,2,1,12,Yes,Yes,Yes,Yes,24
Friedrichshain-Kreuzberg,Private Room,3,1,1,Yes,Yes,Yes,Yes,27
Treptow - Köpenick,Entire Home/Apt,3,1,1,Yes,Yes,No,Yes,40
Pankow,Private Room,2,1,10,Yes,Yes,Yes,Yes,29
Mitte,Private Room,1,1,0,Yes,Yes,Yes,Yes,35
Mitte,Entire Home/Apt,2,0,7,Yes,Yes,Yes,Yes,29
Treptow - Köpenick,Private Room,2,1,12,Yes,Yes,Yes,Yes,20
Friedrichshain-Kreuzberg,Entire Home/Apt,2,1,9,Yes,No,Yes,Yes,120
Friedrichshain-Kreuzberg,Entire Home/Apt,3,1,7,Yes,No,Yes,Yes,100
Pankow,Private Room,1,1,7,No,No,Yes,No,18
Neukölln,Private Room,2,1,8,Yes,Yes,Yes,Yes,35
Friedrichshain-Kreuzberg,Entire Home/Apt,2,1,4,Yes,Yes,No,Yes,20
Charlottenburg-Wilm.,Private Room,2,1,0,Yes,No,Yes,Yes,40
Neukölln,Private Room,1,1,6,Yes,No,Yes,Yes,38
Pankow,Private Room,2,1,21,Yes,Yes,Yes,Yes,35
Neukölln,Private Room,2,1,1,Yes,Yes,Yes,Yes,25
Lichtenberg,Private Room,2,1,19,Yes,Yes,Yes,No,25
Pankow,Private Room,3,1,24,Yes,Yes,Yes,Yes,75
Mitte,Private Room,2,1,2,Yes,Yes,No,Yes,18
Neukölln,Private Room,2,1,2,Yes,Yes,Yes,Yes,26
Pankow,Private Room,2,1,3,Yes,Yes,Yes,Yes,30
Neukölln,Entire Home/Apt,3,1,34,Yes,No,Yes,Yes,60
Neukölln,Entire Home/Apt,2,1,0,Yes,Yes,Yes,Yes,80
Pankow,Private Room,2,1,15,Yes,Yes,No,Yes,59
Lichtenberg,Private Room,2,1,15,Yes,No,No,Yes,20
Pankow,Private Room,1,1,2,Yes,Yes,Yes,Yes,35
Pankow,Private Room,2,1,55,Yes,Yes,Yes,Yes,50
Mitte,Private Room,2,1,10,Yes,Yes,Yes,Yes,25
Pankow,Private Room,2,1,21,Yes,Yes,No,No,23
Friedrichshain-Kreuzberg,Private Room,2,1,5,Yes,Yes,Yes,Yes,22
Neukölln,Entire Home/Apt,3,2,2,Yes,Yes,No,No,70
Friedrichshain-Kreuzberg,Private Room,2,1,13,Yes,Yes,Yes,Yes,70
Tempelhof - Schöneberg,Private Room,1,1,0,Yes,Yes,Yes,Yes,30
Tempelhof - Schöneberg,Shared Room,1,1,34,Yes,No,No,Yes,12
Neukölln,Entire Home/Apt,4,2,1,Yes,Yes,Yes,Yes,75
Steglitz - Zehlendorf,Private Room,3,1,0,Yes,Yes,Yes,Yes,20
Charlottenburg-Wilm.,Entire Home/Apt,6,2,0,No,Yes,No,Yes,67
Charlottenburg-Wilm.,Entire Home/Apt,3,0,10,No,No,No,Yes,59
Tempelhof - Schöneberg,Entire Home/Apt,2,1,2,Yes,Yes,Yes,Yes,65
Friedrichshain-Kreuzberg,Private Room,1,1,6,Yes,Yes,Yes,Yes,30
Charlottenburg-Wilm.,Private Room,2,1,1,Yes,No,Yes,Yes,80
Neukölln,Private Room,2,1,6,Yes,No,Yes,Yes,25
Pankow,Entire Home/Apt,2,1,5,Yes,Yes,Yes,Yes,50
Pankow,Entire Home/Apt,10,3,78,Yes,No,Yes,Yes,119
Neukölln,Private Room,2,1,1,Yes,No,Yes,Yes,18
Neukölln,Private Room,5,1,16,Yes,Yes,Yes,Yes,70
Mitte,Entire Home/Apt,2,1,7,Yes,No,Yes,Yes,80
Mitte,Private Room,2,0,3,Yes,Yes,Yes,Yes,25
Tempelhof - Schöneberg,Private Room,2,1,18,Yes,No,Yes,Yes,27
Mitte,Entire Home/Apt,3,1,1,Yes,No,Yes,Yes,50
Pankow,Entire Home/Apt,2,1,4,Yes,Yes,Yes,Yes,40
Mitte,Entire Home/Apt,2,1,0,Yes,Yes,Yes,Yes,30
Neukölln,Private Room,2,1,0,Yes,Yes,Yes,Yes,20
Friedrichshain-Kreuzberg,Private Room,2,1,4,Yes,Yes,Yes,Yes,30
Neukölln,Entire Home/Apt,2,1,2,Yes,Yes,Yes,Yes,39
Pankow,Entire Home/Apt,3,1,9,Yes,No,Yes,Yes,60
Pankow,Entire Home/Apt,4,1,2,Yes,No,Yes,Yes,70
Mitte,Entire Home/Apt,4,2,16,Yes,No,Yes,Yes,183
Mitte,Entire Home/Apt,3,1,9,Yes,Yes,Yes,Yes,65
Pankow,Private Room,2,1,4,Yes,Yes,Yes,Yes,32
Mitte,Entire Home/Apt,2,1,2,Yes,Yes,Yes,Yes,30
Tempelhof - Schöneberg,Private Room,2,1,3,Yes,No,Yes,Yes,15
Reinickendorf,Private Room,2,1,42,Yes,Yes,No,No,33
Pankow,Entire Home/Apt,4,2,2,Yes,Yes,Yes,Yes,98
Lichtenberg,Entire Home/Apt,4,1,3,Yes,No,Yes,Yes,40
Friedrichshain-Kreuzberg,Entire Home/Apt,2,1,1,Yes,No,Yes,Yes,50
Pankow,Entire Home/Apt,2,0,2,Yes,Yes,Yes,Yes,45
Mitte,Entire Home/Apt,2,1,1,No,Yes,Yes,Yes,23
Friedrichshain-Kreuzberg,Entire Home/Apt,4,2,1,Yes,Yes,Yes,Yes,47
Mitte,Entire Home/Apt,2,1,21,Yes,Yes,Yes,Yes,89
Treptow - Köpenick,Private Room,1,0,7,Yes,Yes,Yes,Yes,19
Friedrichshain-Kreuzberg,Private Room,2,1,1,Yes,Yes,Yes,Yes,21
Friedrichshain-Kreuzberg,Entire Home/Apt,2,1,0,Yes,No,Yes,Yes,55
Tempelhof - Schöneberg,Private Room,3,2,17,Yes,Yes,No,Yes,26
Friedrichshain-Kreuzberg,Private Room,1,0,1,Yes,No,Yes,Yes,29
Pankow,Private Room,2,1,30,Yes,Yes,Yes,Yes,38
Friedrichshain-Kreuzberg,Entire Home/Apt,7,2,15,Yes,No,Yes,Yes,130
Neukölln,Private Room,1,1,0,Yes,Yes,Yes,Yes,25
Mitte,Entire Home/Apt,2,1,4,Yes,Yes,Yes,Yes,150
Friedrichshain-Kreuzberg,Private Room,2,1,35,Yes,Yes,Yes,Yes,30
Friedrichshain-Kreuzberg,Private Room,2,1,0,Yes,Yes,Yes,Yes,42
Mitte,Shared Room,4,1,1,Yes,Yes,Yes,Yes,15
Friedrichshain-Kreuzberg,Private Room,1,1,0,Yes,Yes,Yes,Yes,50
Neukölln,Entire Home/Apt,3,2,1,Yes,Yes,Yes,Yes,60
Friedrichshain-Kreuzberg,Entire Home/Apt,2,1,1,Yes,Yes,No,Yes,50
Lichtenberg,Entire Home/Apt,2,0,14,Yes,Yes,Yes,Yes,39
Tempelhof - Schöneberg,Private Room,2,1,0,Yes,Yes,Yes,Yes,20
Mitte,Entire Home/Apt,8,3,47,Yes,No,Yes,Yes,82
Treptow - Köpenick,Private Room,2,1,77,Yes,Yes,Yes,Yes,15
Mitte,Private Room,3,1,23,Yes,Yes,Yes,No,19
Friedrichshain-Kreuzberg,Private Room,2,1,32,Yes,No,Yes,No,49
Friedrichshain-Kreuzberg,Private Room,2,1,3,Yes,Yes,Yes,Yes,29
Pankow,Entire Home/Apt,6,3,1,Yes,No,Yes,Yes,405
Friedrichshain-Kreuzberg,Entire Home/Apt,2,1,0,Yes,No,Yes,Yes,39
Pankow,Entire Home/Apt,3,1,2,Yes,No,Yes,Yes,160
Pankow,Entire Home/Apt,3,2,5,Yes,No,Yes,Yes,95
Mitte,Entire Home/Apt,2,1,6,Yes,Yes,Yes,Yes,79
Friedrichshain-Kreuzberg,Entire Home/Apt,2,1,3,Yes,No,Yes,Yes,234
Pankow,Entire Home/Apt,2,1,3,Yes,No,Yes,Yes,59
Neukölln,Private Room,2,1,2,Yes,No,Yes,Yes,25
Mitte,Private Room,2,1,1,Yes,No,Yes,Yes,25
Mitte,Private Room,2,1,2,Yes,No,Yes,Yes,25
Reinickendorf,Private Room,1,1,5,Yes,No,Yes,Yes,43
Treptow - Köpenick,Entire Home/Apt,6,4,1,Yes,Yes,Yes,Yes,90
Friedrichshain-Kreuzberg,Private Room,2,1,0,Yes,Yes,Yes,Yes,19
Friedrichshain-Kreuzberg,Entire Home/Apt,4,1,2,Yes,No,Yes,Yes,49
Tempelhof - Schöneberg,Private Room,2,2,15,Yes,No,Yes,Yes,20
Neukölln,Private Room,1,1,0,Yes,Yes,Yes,Yes,15
Mitte,Private Room,1,1,4,Yes,Yes,Yes,Yes,17
Friedrichshain-Kreuzberg,Private Room,2,1,6,Yes,Yes,Yes,Yes,30
Friedrichshain-Kreuzberg,Entire Home/Apt,2,1,0,Yes,No,Yes,Yes,115
Friedrichshain-Kreuzberg,Private Room,2,0,7,Yes,Yes,No,Yes,40
Mitte,Private Room,2,1,0,Yes,No,Yes,Yes,25
Pankow,Private Room,2,1,20,Yes,Yes,No,Yes,69
Mitte,Private Room,2,0,3,Yes,Yes,Yes,Yes,30
Friedrichshain-Kreuzberg,Entire Home/Apt,2,2,22,Yes,Yes,No,No,47
Pankow,Entire Home/Apt,4,2,1,Yes,No,Yes,Yes,120
Pankow,Entire Home/Apt,4,2,2,Yes,No,Yes,Yes,120
Neukölln,Private Room,2,1,4,Yes,No,Yes,Yes,39
Friedrichshain-Kreuzberg,Entire Home/Apt,3,1,4,Yes,Yes,Yes,Yes,65
